Country_Code,Country_Name,Indicator_Code,Indicator_Name,Number of Records,Year,Value
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1970,30646
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1970,19786
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1970,25128
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1970,26492
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1970,50666
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1970,25866
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1970,22559
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1970,6861
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1970,17799
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1970,23258
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,31312
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,20989
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,26016
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,22773
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,18328
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,23736
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,7481
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,25699
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,26594
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,52205
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1971,20354
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,26694
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,23784
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,26427
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,8313
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,32337
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,21740
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,21111
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,27143
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,53309
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,19031
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1972,24722
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,33544
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,22918
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,22057
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,7167
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,8840
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,27090
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,25080
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,27759
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,28220
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,54604
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,20274
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1973,25925
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,32880
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,23704
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,27400
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,25509
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,9169
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,19760
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,25578
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,22247
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,7115
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,28393
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,29033
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1974,55194
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,27677
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,27569
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,25496
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,32290
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,23344
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,22155
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,7010
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,9770
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,29654
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,50783
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,19411
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1975,25219
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1976,34152
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1976,24239
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1976,23373
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1976,8039
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1976,27946
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1976,26562
