Country_Code,Country_Name,F65,Indicator Code,Indicator_Name,Number of Records,Year,Value
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1971,23736
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1970,23258
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1974,25578
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1977,27320
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1979,29175
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1980,28814
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1984,31263
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1976,26359
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1982,28431
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1983,29444
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1986,32918
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1991,35585
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1972,24722
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1973,25925
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1975,25219
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1978,28511
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1981,29208
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1985,32180
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1988,34867
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1987,33750
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1989,35810
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1990,36126
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1996,39352
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2003,46034
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2006,49392
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2012,50104
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1993,36820
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2004,47404
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2007,50033
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2008,49634
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2009,47927
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2013,50647
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2015,52537
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1994,37785
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1995,38359
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1997,40566
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1998,41860
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1999,43380
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2000,44704
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2002,45098
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2010,48902
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2016,52943
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2017,53816
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2018,55079
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1992,36318
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2001,44759
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2005,48597
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2011,49403
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,2014,51511
